word,url
A,https://www.youtube.com/watch?v=8xWxsYN69SQ
B,https://www.youtube.com/watch?v=YU5PLKBV2Us
C,https://www.youtube.com/watch?v=XzhAhPklmPY
D,https://www.youtube.com/watch?v=YUC0eWGkB8s
E,https://www.youtube.com/watch?v=QNXEgEqapoU
F,https://www.youtube.com/watch?v=0b6uPi6wWCk
G,https://www.youtube.com/watch?v=L4inmmLNfxU
H,https://www.youtube.com/watch?v=qYXNC802fBY
J,https://www.youtube.com/watch?v=8VbcMW1if2k
K,https://www.youtube.com/watch?v=py3K_M7iQPc
L,https://www.youtube.com/watch?v=MMjzmbKkIzA
M,https://www.youtube.com/watch?v=2Ue2zgU1cWw
N,https://www.youtube.com/watch?v=YoFq5pajSOg
O,https://www.youtube.com/watch?v=dH8pdcctqXw
P,https://www.youtube.com/watch?v=nIPTdkuMf60
Q,https://www.youtube.com/watch?v=VLXCN51tv1A
R,https://www.youtube.com/watch?v=7QjGd2SErW8
S,https://www.youtube.com/watch?v=wySbmZlcwxk
T,https://www.youtube.com/watch?v=L80UVAXb1MU
U,https://www.youtube.com/watch?v=JGnDANT5dJ8
V,https://www.youtube.com/watch?v=eJ7j6vx-L9c
W,https://www.youtube.com/watch?v=fZr8y4dU0C0
X,https://www.youtube.com/watch?v=r5ywVC44MeY
Y,https://www.youtube.com/watch?v=ayrubiIOQnc
Z,https://www.youtube.com/watch?v=r8zkVbgQduo
i,https://www.youtube.com/watch?v=P-k3HOBisv8
1,https://www.youtube.com/watch?v=lH6pT7nQb9A
2,https://www.youtube.com/watch?v=MhHOduyqKv4
3,https://www.youtube.com/watch?v=Sh3P9rHIKOM
4,https://www.youtube.com/watch?v=ouQmvo795rE
5,https://www.youtube.com/watch?v=BYnUpQfk3Ts
6,https://www.youtube.com/watch?v=T6vd9Criu48
7,https://www.youtube.com/watch?v=MZZ52lsCfSw
8,https://www.youtube.com/watch?v=l_QL6DBEeFk
9,https://www.youtube.com/watch?v=-NQKa7Pmhx4
